name,code,pop
Vietnam,3,7.83
Argentina,3,8.33
Australia,33,7.89
Austria,5,6.9
Belarus,1,9.0
Belgium,17,7.44
Bolivia,1,9.0
Brazil,11,7.68
Bulgaria,1,6.0
Canada,114,7.65
Chile,4,8.38
China,2,7.5
Colombia,1,9.0
Croatia,2,8.5
Czech Republic,12,7.25
Denmark,6,7.5
England,5,7.7
Estonia,2,7.0
Finland,29,7.34
France,11,7.55
Germany,88,7.0
Greece,5,7.78
Hungary,5,7.2
India,2,7.0
Indonesia,3,8.33
Ireland,3,7.5
Israel,1,9.0
Italy,18,7.47
Japan,13,6.95
Latvia,1,7.5
Lithuania,1,5.0
Macedonia,2,8.5
Malaysia,3,7.93
Mexico,2,7.65
Netherlands,40,7.32
New Zealand,9,7.21
Norway,11,7.18
Poland,11,7.36
Portugal,7,7.8
Romania,2,9.05
Russia,15,7.4
Republic of Serbia,1,6.0
Slovakia,1,4.0
Slovenia,1,7.0
South Africa,2,6.25
South Korea,15,6.9
Spain,44,7.41
Sweden,29,7.48
Switzerland,2,8.0
Taiwan,3,8.5
Thailand,1,7.5
Ukraine,3,8.03
USA,635,7.46
Argentina,3,6.67
Australia,47,6.12
Belgium,3,8.33
Brazil,9,6.54
Bulgaria,6,6.5
Canada,127,7.01
Chile,4,7.5
China,1,6.0
Costa Rica,2,6.0
Croatia,1,9.0
Czech Republic,1,5.0
Denmark,2,7.5
England,2,6.25
Estonia,1,4.0
Finland,8,5.58
Germany,9,5.39
Greece,5,7.2
Hungary,1,1.0
Iceland,2,7.75
India,2,5.5
Ireland,5,7.4
Israel,2,8.25
Italy,5,7.4
Latvia,2,7.0
Lithuania,1,5.0
Macedonia,1,8.0
Malaysia,1,6.0
Mexico,6,7.67
Netherlands,9,7.47
New Zealand,6,8.17
Norway,2,3.0
Peru,1,5.0
Philippines,5,6.7
Poland,2,5.75
Romania,5,6.3
Russia,1,3.0
Slovakia,1,6.0
Slovenia,1,10.0
South Africa,2,1.0
South Korea,1,6.0
Spain,15,7.37
Sri Lanka,1,6.0
Sweden,11,7.0
Switzerland,2,7.0
Taiwan,1,9.0
Thailand,1,5.0
Turkey,2,8.0
USA,795,6.77
Venezuela,1,7.0
Argentina,6,8.35
Australia,31,7.72
Austria,3,7.5
Belarus,1,8.0
Belgium,3,7.33
Brazil,16,8.38
Canada,80,8.03
Chile,3,6.67
China,10,7.44
Colombia,1,10.0
Croatia,1,6.5
Czech Republic,9,8.56
Denmark,7,8.14
England,6,7.58
Estonia,2,9.65
Finland,13,7.98
France,5,7.15
Germany,29,7.43
Greece,7,8.94
Hungary,4,8.0
Iceland,1,7.5
India,3,8.17
Ireland,3,7.83
Israel,2,7.0
Italy,8,8.1
Japan,11,6.64
Latvia,4,8.38
Lebanon,1,8.0
Lithuania,4,7.75
Malaysia,2,8.25
Mexico,6,7.5
Netherlands,9,8.06
New Zealand,4,6.38
Norway,6,7.08
Philippines,2,7.5
Poland,21,7.62
Portugal,6,7.85
Romania,3,8.2
Russia,9,7.5
Republic of Serbia,1,8.5
Slovakia,1,9.0
South Africa,2,8.0
South Korea,9,7.74
Spain,29,8.04
Sweden,16,6.9
Switzerland,2,7.75
Taiwan,6,7.3
Thailand,2,10.0
Ukraine,4,9.15
USA,520,7.98
Vietnam,3,7.83
Albania,1,8.5
Argentina,59,9.28
Australia,318,9.17
Austria,44,9.21
Azerbaijan,1,9.0
The Bahamas,2,8.75
Belarus,7,9.36
Belgium,151,9.1
Bolivia,3,9.17
Bosnia and Herzegovina,1,10.0
Brazil,249,9.23
Brunei,1,10.0
Bulgaria,23,9.26
Canada,1089,9.13
Chile,63,9.34
China,54,9.27
Colombia,21,9.25
Costa Rica,6,9.5
Croatia,28,9.36
Cyprus,2,8.75
Czech Republic,50,9.25
Denmark,77,9.14
Dominican Republic,1,9.0
Ecuador,3,9.33
England,43,9.1
Estonia,23,9.42
Fiji,1,9.0
Finland,104,8.97
France,93,9.24
Germany,482,9.32
Greece,124,9.18
Guatemala,4,9.25
Honduras,1,8.4
Hungary,70,9.23
Iceland,13,9.23
India,19,9.37
Indonesia,22,9.25
Iran,7,9.57
Iraq,1,9.0
Ireland,33,9.09
Israel,37,9.19
Italy,189,9.11
Japan,80,9.3
Kenya,1,8.5
Latvia,22,9.34
Lebanon,2,9.0
Lithuania,32,9.41
Luxembourg,5,9.4
Macedonia,4,9.5
Malaysia,23,9.01
Mexico,91,9.34
Moldova,3,9.33
Mongolia,1,9.0
Netherlands,170,9.09
New Zealand,78,9.13
Norway,56,9.06
Panama,1,9.0
Paraguay,1,10.0
Peru,14,9.39
Philippines,18,9.34
Poland,292,9.26
Portugal,91,9.27
Puerto Rico,1,10.0
Qatar,2,9.4
Romania,61,9.27
Russia,62,9.36
Rwanda,1,9.0
Saudi Arabia,3,9.33
Republic of Serbia,26,9.44
Slovakia,12,9.35
Slovenia,18,9.21
South Africa,28,9.33
South Korea,64,9.16
Spain,483,9.18
Sri Lanka,1,9.0
Sweden,206,9.18
Switzerland,45,9.28
Taiwan,62,9.15
Thailand,25,9.33
Trinidad and Tobago,1,9.0
Turkey,13,9.27
Uganda,1,8.5
Ukraine,23,9.38
United Arab Emirates,2,10.0
USA,6114,9.22
Uruguay,8,9.25
Venezuela,7,9.41
Vietnam,4,9.41
Zambia,1,9.0
Argentina,4,8.5
Australia,41,6.79
Austria,15,7.51
Belgium,45,7.69
Brazil,11,7.29
Brunei,1,8.0
Bulgaria,1,8.0
Canada,188,7.08
Chile,5,6.6
China,5,8.0
Colombia,1,6.5
Czech Republic,12,6.92
Denmark,5,8.2
England,8,7.25
Estonia,1,8.0
Finland,14,6.9
France,27,7.41
Germany,186,7.87
Greece,15,7.53
Hungary,14,6.97
India,2,5.0
Indonesia,1,7.0
Ireland,3,8.33
Israel,2,7.0
Italy,45,7.26
Japan,7,6.57
Latvia,1,6.0
Lithuania,2,8.5
Luxembourg,1,9.0
Malaysia,1,7.5
Mexico,3,6.17
Netherlands,82,7.67
New Zealand,13,6.74
Norway,13,7.19
Philippines,1,8.0
Poland,29,7.12
Portugal,3,6.33
Qatar,1,2.0
Romania,8,7.63
Russia,13,7.08
Rwanda,1,8.0
Republic of Serbia,2,10.0
Slovakia,1,4.0
Slovenia,4,6.43
South Africa,2,8.5
South Korea,6,6.17
Spain,65,7.0
Sweden,18,6.87
Switzerland,13,7.42
Taiwan,4,7.8
Ukraine,2,5.5
USA,884,7.09
Uruguay,1,8.0
Argentina,6,8.33
Australia,34,8.31
Austria,3,9.67
Belarus,1,6.0
Belgium,13,8.54
Brazil,34,8.74
Bulgaria,3,8.0
Canada,110,8.54
Chile,5,8.2
China,7,7.7
Colombia,3,8.83
Croatia,1,6.3
Czech Republic,6,8.5
Denmark,8,7.44
England,10,8.4
Estonia,3,8.48
Finland,7,8.21
France,14,8.98
Germany,58,8.5
Greece,12,9.15
Honduras,1,9.0
Hungary,7,8.21
Iceland,3,7.83
India,3,9.17
Indonesia,1,8.0
Ireland,2,9.5
Israel,6,8.4
Italy,29,8.27
Japan,19,8.55
Latvia,3,8.0
Lithuania,6,8.83
Luxembourg,1,8.0
Malaysia,1,7.5
Mexico,6,8.42
Netherlands,14,8.51
New Zealand,7,7.43
Norway,8,8.19
Philippines,4,8.25
Poland,39,8.47
Portugal,6,8.58
Qatar,1,8.0
Romania,5,9.76
Russia,6,8.11
Republic of Serbia,4,9.0
Slovakia,1,10.0
South Africa,5,8.2
South Korea,13,8.61
Spain,46,7.84
Sweden,16,8.3
Switzerland,5,8.2
Taiwan,7,8.79
Thailand,5,8.0
Ukraine,5,8.0
USA,495,8.44
Uruguay,1,9.0
Venezuela,2,8.5
Vietnam,1,5.0
Argentina,6,8.5
Australia,51,7.65
Austria,15,9.0
Azerbaijan,1,8.0
Belgium,42,8.52
Brazil,39,8.71
Bulgaria,1,8.0
Canada,185,8.01
Chile,4,8.15
China,22,8.79
Colombia,4,7.88
Croatia,1,9.0
Czech Republic,12,7.53
Denmark,12,7.42
Ecuador,1,8.0
England,12,7.71
Estonia,6,8.3
Finland,35,7.75
France,39,8.26
Germany,155,8.53
Greece,28,8.55
Hungary,11,8.07
Iceland,1,8.5
India,3,8.17
Indonesia,3,9.08
Ireland,7,7.57
Israel,8,8.44
Italy,69,8.47
Japan,23,7.4
Latvia,7,8.43
Lithuania,5,8.8
Luxembourg,3,8.0
Malaysia,9,7.13
Mexico,4,9.25
Mongolia,1,7.0
Netherlands,30,8.18
New Zealand,17,7.37
Norway,12,8.75
Peru,2,9.25
Philippines,4,8.13
Poland,61,8.37
Portugal,7,8.03
Qatar,1,5.4
Romania,4,9.0
Russia,9,7.56
Republic of Serbia,2,9.4
Slovakia,2,7.0
Slovenia,5,9.08
South Africa,5,7.7
South Korea,27,8.35
Spain,136,8.4
Sweden,29,7.94
Switzerland,12,9.08
Taiwan,24,8.4
Thailand,5,8.0
Turkey,1,9.0
Ukraine,3,8.2
USA,839,7.76
Venezuela,2,10.0
Argentina,10,8.3
Australia,66,6.99
Austria,8,6.88
The Bahamas,1,9.0
Belgium,29,7.79
Bolivia,1,8.0
Brazil,33,8.34
Bulgaria,2,6.5
Canada,212,7.24
Chile,11,7.86
China,11,7.97
Colombia,2,6.5
Croatia,4,8.25
Czech Republic,5,6.9
Denmark,16,5.88
England,8,7.19
Estonia,3,7.33
Finland,30,6.58
France,15,7.51
Germany,82,7.31
Greece,26,8.76
Guatemala,1,10.0
Hungary,12,8.25
Iceland,2,9.0
India,3,8.33
Indonesia,3,8.5
Ireland,8,6.38
Israel,5,8.8
Italy,41,8.22
Japan,10,5.65
Latvia,7,8.0
Lithuania,5,6.8
Luxembourg,1,9.0
Malaysia,5,5.9
Mexico,14,8.02
Moldova,2,7.5
Netherlands,41,7.41
New Zealand,19,7.27
Norway,21,7.12
Peru,4,6.5
Philippines,3,6.67
Poland,47,7.61
Portugal,17,7.75
Qatar,2,8.6
Romania,4,9.0
Russia,11,7.7
Saudi Arabia,1,9.0
Republic of Serbia,4,7.5
Slovakia,2,8.5
Slovenia,4,7.75
South Africa,2,7.0
South Korea,11,6.91
Spain,91,8.22
Sweden,36,6.5
Switzerland,9,8.56
Taiwan,4,8.38
Thailand,5,6.6
Turkey,2,6.0
Uganda,1,5.5
Ukraine,2,4.0
USA,1214,7.34
Venezuela,1,10.0
Vietnam,1,6.0
Albania,1,7.5
Argentina,21,7.56
Australia,99,7.38
Austria,18,7.78
Belarus,3,9.17
Belgium,84,7.96
Bolivia,1,9.0
Brazil,85,7.8
Brunei,1,7.0
Bulgaria,6,7.17
Canada,319,7.56
Chile,17,8.29
China,34,7.92
Colombia,6,7.25
Croatia,9,8.17
Czech Republic,28,7.39
Denmark,20,7.04
England,12,7.73
Estonia,11,7.39
Finland,43,7.44
France,48,7.88
Germany,150,7.81
Greece,50,7.61
Guatemala,1,10.0
Hungary,28,7.83
Iceland,1,7.5
India,7,7.57
Indonesia,6,7.67
Ireland,11,8.27
Israel,22,7.93
Italy,92,7.7
Japan,41,7.13
Latvia,12,8.03
Lebanon,1,7.0
Lithuania,15,7.48
Luxembourg,4,7.7
Malaysia,11,7.38
Mexico,10,7.92
Moldova,1,8.0
Mongolia,1,9.0
Netherlands,76,7.61
New Zealand,26,7.46
Norway,20,7.2
Peru,3,7.33
Philippines,7,8.71
Poland,104,7.8
Portugal,12,7.42
Qatar,1,6.4
Romania,19,8.52
Russia,32,7.86
Saudi Arabia,2,8.5
Republic of Serbia,6,7.92
Slovakia,2,5.75
Slovenia,9,8.37
South Africa,5,7.6
South Korea,41,7.25
Spain,249,7.78
Sweden,61,7.34
Switzerland,15,7.73
Taiwan,41,8.33
Thailand,11,8.12
Turkey,4,8.38
Ukraine,12,8.0
USA,1582,7.54
Uruguay,1,7.5
Venezuela,4,9.25
Vietnam,2,6.88
Argentina,6,6.5
Australia,44,5.93
Austria,6,5.25
Belgium,16,6.13
Brazil,34,6.13
Brunei,1,8.0
Bulgaria,2,8.0
Canada,171,6.02
Chile,7,5.37
China,5,4.3
Colombia,1,5.0
Costa Rica,3,6.33
Croatia,4,5.75
Czech Republic,2,5.5
Denmark,6,5.88
England,4,5.95
Estonia,1,9.0
Finland,10,5.65
France,12,6.44
Germany,59,6.19
Greece,8,6.99
Guatemala,1,7.0
Honduras,1,7.0
Hungary,2,7.0
Indonesia,1,4.0
Ireland,5,6.2
Israel,7,6.79
Italy,31,5.68
Japan,15,5.61
Latvia,2,3.5
Lithuania,1,7.0
Luxembourg,1,8.0
Macedonia,1,5.0
Malaysia,4,5.0
Mexico,6,6.1
Netherlands,23,5.78
New Zealand,8,5.55
Norway,12,5.71
Philippines,5,6.2
Poland,18,5.67
Portugal,10,7.48
Romania,2,7.5
Russia,3,6.0
Saudi Arabia,1,6.0
Republic of Serbia,5,6.6
Slovenia,2,7.5
South Africa,2,4.5
South Korea,18,6.35
Spain,33,6.3
Sweden,17,5.35
Switzerland,3,6.0
Taiwan,5,7.4
Thailand,3,8.33
Ukraine,2,8.05
USA,976,5.94
Venezuela,1,7.0
Argentina,15,8.18
Australia,83,7.89
Austria,9,8.11
Belarus,3,8.33
Belgium,25,7.35
Bolivia,1,7.0
Brazil,32,8.54
Bulgaria,9,7.94
Canada,210,8.14
Chile,11,7.14
China,18,7.91
Colombia,8,7.85
Costa Rica,1,7.0
Croatia,4,7.5
Czech Republic,10,9.2
Denmark,11,7.65
Ecuador,1,8.0
England,10,8.02
Estonia,1,8.7
Finland,11,8.15
France,31,8.48
Germany,130,7.8
Greece,26,8.44
Hungary,13,7.61
Iceland,2,9.0
India,7,8.93
Indonesia,5,8.8
Ireland,13,8.38
Israel,15,8.66
Italy,46,7.77
Japan,19,6.84
Latvia,8,8.13
Lithuania,7,7.07
Luxembourg,2,8.5
Macedonia,2,8.0
Malaysia,3,7.83
Mexico,19,8.07
Moldova,2,9.0
Netherlands,31,8.0
New Zealand,16,7.5
Norway,10,7.31
Paraguay,1,8.0
Peru,3,9.67
Philippines,7,8.36
Poland,73,8.35
Portugal,20,7.98
Qatar,1,8.2
Romania,12,8.72
Russia,12,7.83
Saudi Arabia,2,8.0
Republic of Serbia,8,6.88
Slovakia,5,7.85
Slovenia,3,8.33
South Africa,8,8.35
South Korea,19,7.64
Spain,114,7.96
Sweden,36,7.85
Switzerland,15,7.5
Taiwan,13,8.45
Thailand,8,7.56
Uganda,1,8.0
Ukraine,6,7.83
USA,1153,8.08
Uruguay,2,8.0
Venezuela,1,9.0
Vietnam,2,8.25
Argentina,10,7.25
Australia,43,7.05
Austria,7,7.86
Belarus,1,8.0
Belgium,16,6.6
Brazil,57,7.39
Bulgaria,1,6.0
Canada,121,7.3
Chile,11,7.43
China,6,7.07
Colombia,4,7.28
Croatia,3,6.47
Czech Republic,9,6.22
Denmark,5,5.6
England,5,7.0
Estonia,4,6.25
Finland,31,7.43
France,18,7.68
Germany,74,7.47
Greece,17,7.21
Hungary,11,7.73
India,2,7.0
Indonesia,2,8.5
Israel,7,8.36
Italy,47,7.25
Japan,36,7.34
Latvia,5,7.1
Lithuania,5,7.6
Luxembourg,2,5.5
Malaysia,3,6.83
Mexico,5,8.08
Netherlands,23,7.21
New Zealand,15,7.35
Norway,8,7.19
Philippines,4,6.5
Poland,36,7.1
Portugal,9,7.12
Romania,3,7.67
Russia,14,7.0
Saudi Arabia,1,7.0
Republic of Serbia,1,6.0
Slovakia,2,6.0
Slovenia,1,8.0
South Africa,3,7.33
South Korea,23,7.28
Spain,99,7.4
Sweden,15,7.3
Switzerland,7,8.27
Taiwan,23,7.43
Thailand,4,8.38
Ukraine,3,5.67
USA,684,7.25
Uruguay,1,8.0
Venezuela,2,7.75
Vietnam,2,8.38
Argentina,9,8.06
Australia,23,7.6
Austria,8,8.19
Belarus,1,6.0
Belgium,11,7.37
Brazil,13,8.07
Bulgaria,3,6.67
Canada,58,7.48
Chile,5,7.24
China,6,8.03
Colombia,4,8.63
Costa Rica,2,7.0
Croatia,2,9.0
Czech Republic,4,7.0
Denmark,4,5.25
Ecuador,1,9.0
England,8,7.96
Estonia,2,7.5
Finland,13,7.58
France,21,8.07
Germany,99,7.59
Greece,13,7.42
Hungary,10,7.2
Iceland,2,9.0
India,1,9.0
Indonesia,1,8.5
Ireland,6,7.75
Israel,5,6.45
Italy,30,7.1
Japan,17,6.69
Latvia,3,7.75
Lithuania,2,8.0
Luxembourg,2,7.75
Malaysia,2,8.25
Mexico,7,8.29
Netherlands,12,7.61
New Zealand,7,7.0
Norway,7,6.57
Peru,1,8.0
Philippines,2,7.0
Poland,41,7.54
Portugal,7,7.93
Romania,7,7.93
Russia,4,7.13
Saudi Arabia,1,9.0
Republic of Serbia,4,7.88
Slovakia,1,5.5
Slovenia,1,8.0
South Africa,2,7.2
South Korea,13,7.14
Spain,79,7.49
Sweden,15,7.43
Switzerland,8,7.06
Taiwan,8,7.29
Thailand,5,7.34
Turkey,1,8.5
Uganda,1,8.0
Ukraine,2,10.0
USA,325,7.35
Venezuela,2,7.0
Argentina,5,8.06
Australia,57,7.37
Austria,8,6.88
Belgium,12,7.13
Brazil,33,8.19
Bulgaria,2,7.5
Canada,141,7.38
Chile,3,6.67
China,3,5.83
Colombia,1,8.5
Croatia,4,7.75
Czech Republic,4,5.5
Denmark,7,6.8
England,5,7.12
Estonia,4,7.38
Finland,21,7.54
France,18,7.61
Germany,78,6.92
Greece,14,8.24
Guatemala,2,7.0
Hungary,3,5.33
Iceland,1,7.5
Indonesia,2,8.5
Ireland,8,7.97
Israel,8,7.13
Italy,25,7.66
Japan,10,6.4
Latvia,2,6.75
Lebanon,1,5.0
Lithuania,6,5.75
Luxembourg,1,9.0
Macedonia,2,8.0
Malaysia,5,7.5
Mexico,6,7.5
Moldova,1,9.0
Netherlands,16,6.91
New Zealand,19,6.18
Norway,10,6.7
Peru,1,8.5
Philippines,6,8.08
Poland,9,8.11
Portugal,7,7.93
Romania,2,8.5
Russia,5,6.65
Republic of Serbia,2,6.25
Slovakia,1,9.0
Slovenia,2,9.0
South Africa,2,7.5
South Korea,5,6.0
Spain,59,7.21
Sri Lanka,1,8.0
Sweden,24,6.98
Switzerland,5,7.3
Taiwan,4,7.9
Thailand,4,6.88
Turkey,2,9.25
Ukraine,1,8.0
USA,1087,7.6
Uruguay,1,8.5
Venezuela,3,5.5
Argentina,11,8.09
Australia,59,7.63
Austria,4,8.0
Belgium,8,7.63
Brazil,48,7.95
Bulgaria,4,5.75
Canada,129,7.42
Chile,5,6.9
China,9,7.5
Colombia,5,8.2
Croatia,1,9.0
Czech Republic,1,9.0
Denmark,6,6.17
England,8,6.78
Estonia,2,7.6
Finland,9,7.69
France,6,8.17
Germany,32,6.82
Greece,14,6.96
Hungary,2,5.5
Iceland,1,8.0
India,3,7.33
Indonesia,4,8.38
Ireland,10,7.75
Israel,7,6.69
Italy,10,6.88
Japan,13,6.62
Latvia,2,7.25
Lithuania,2,7.5
Luxembourg,1,8.0
Macedonia,1,6.0
Malaysia,3,8.33
Mexico,20,8.29
Moldova,1,10.0
Netherlands,14,6.79
New Zealand,10,7.03
Norway,3,6.0
Peru,1,6.0
Philippines,6,7.67
Poland,19,6.84
Portugal,12,7.03
Romania,1,10.0
Russia,5,6.0
Saudi Arabia,2,8.0
Republic of Serbia,7,8.0
Slovakia,2,7.25
Slovenia,1,8.0
South Africa,2,6.0
South Korea,12,6.46
Spain,57,6.95
Sweden,19,6.97
Switzerland,3,7.0
Taiwan,8,7.71
Thailand,9,7.63
Turkey,1,8.0
Uganda,1,7.0
Ukraine,1,10.0
USA,818,7.35
Venezuela,2,5.5
Vietnam,2,6.15
Argentina,12,8.77
Australia,41,7.88
Austria,4,7.78
Belarus,1,8.0
Belgium,8,7.63
Bolivia,1,8.0
Brazil,29,8.42
Bulgaria,4,8.25
Canada,120,8.07
Chile,2,6.0
China,11,8.34
Colombia,3,8.0
Croatia,2,6.7
Czech Republic,7,7.43
Denmark,6,9.08
England,7,7.07
Estonia,2,6.5
Finland,9,8.81
France,12,8.5
Germany,53,7.74
Greece,14,8.41
Guatemala,1,9.0
Hungary,4,6.5
Iceland,1,10.0
Indonesia,1,8.0
Iran,1,8.0
Iraq,1,9.0
Ireland,9,7.94
Israel,4,6.89
Italy,18,6.61
Japan,9,7.06
Latvia,3,7.0
Lithuania,8,8.13
Luxembourg,1,7.0
Macedonia,1,10.0
Malaysia,3,8.83
Mexico,15,8.67
Netherlands,12,7.58
New Zealand,9,7.78
Norway,8,7.88
Philippines,5,8.3
Poland,29,7.97
Portugal,13,8.22
Qatar,1,8.8
Romania,5,9.61
Russia,6,7.67
Republic of Serbia,1,8.5
Slovakia,1,9.0
South Africa,2,8.0
South Korea,12,7.78
Spain,67,8.0
Sweden,12,8.86
Switzerland,3,6.33
Taiwan,4,8.0
Thailand,4,6.63
Turkey,1,8.5
Ukraine,4,9.5
USA,640,7.86
Uruguay,3,8.67
Venezuela,1,9.0
Argentina,8,6.94
Australia,46,6.97
Austria,3,7.0
Belarus,1,6.0
Belgium,11,7.09
Brazil,22,7.07
Brunei,1,8.0
Canada,96,7.04
Chile,9,7.41
China,4,6.95
Colombia,1,10.0
Croatia,1,8.0
Czech Republic,2,7.5
Denmark,5,4.8
England,7,7.36
Estonia,3,6.67
Finland,20,6.93
France,16,7.13
Germany,61,6.9
Greece,14,7.29
Guatemala,1,1.0
Hungary,3,7.0
India,1,6.0
Indonesia,1,7.0
Ireland,2,7.75
Israel,6,7.5
Italy,17,7.24
Japan,28,6.68
Latvia,1,9.0
Malaysia,5,6.96
Mexico,6,7.3
Netherlands,11,7.29
New Zealand,13,7.22
Norway,11,7.18
Philippines,2,8.0
Poland,13,6.96
Portugal,7,7.11
Romania,2,6.75
Russia,1,5.0
Saudi Arabia,1,8.0
Republic of Serbia,2,9.0
Slovenia,3,8.33
South Africa,3,6.83
South Korea,13,6.86
Spain,76,6.96
Sweden,17,6.28
Switzerland,3,6.67
Taiwan,11,7.56
Thailand,7,8.04
Ukraine,1,9.0
USA,684,7.24
Uruguay,1,8.0
Vietnam,1,7.5
Argentina,2,8.0
Australia,34,7.23
Austria,6,7.17
Belgium,12,7.54
Brazil,18,8.14
Canada,115,7.65
Chile,2,8.5
China,1,5.9
Czech Republic,1,8.0
Denmark,10,7.25
England,4,6.75
Finland,18,7.28
France,17,7.93
Germany,59,7.21
Greece,10,7.85
Hungary,4,8.13
Iceland,1,7.0
India,1,7.0
Indonesia,1,7.0
Ireland,5,8.05
Israel,2,6.0
Italy,32,7.29
Japan,6,6.67
Latvia,1,6.0
Lithuania,1,8.0
Mexico,4,8.45
Moldova,1,7.0
Netherlands,19,6.6
New Zealand,9,6.72
Norway,10,6.8
Peru,2,8.5
Philippines,1,5.0
Poland,5,7.4
Portugal,9,6.28
Russia,3,6.33
Republic of Serbia,2,8.0
Slovenia,1,10.0
South Korea,3,7.67
Spain,24,7.56
Sweden,25,7.38
Switzerland,2,8.0
Taiwan,1,9.0
Turkey,1,9.0
Ukraine,1,8.0
USA,601,7.4
Venezuela,2,6.5
Argentina,26,8.23
Australia,83,7.65
Austria,11,8.05
The Bahamas,1,10.0
Belarus,3,8.33
Belgium,45,7.65
Bolivia,1,8.0
Brazil,97,8.5
Bulgaria,10,8.05
Canada,187,7.71
Chile,20,8.27
China,27,7.79
Colombia,5,8.9
Costa Rica,2,9.5
Croatia,10,8.2
Czech Republic,18,8.12
Denmark,14,7.21
England,10,7.2
Estonia,6,8.0
Finland,28,7.46
France,35,8.23
Germany,111,7.12
Greece,49,7.87
Hungary,25,8.4
Iceland,2,8.75
India,4,8.13
Indonesia,5,8.54
Ireland,16,7.86
Israel,14,7.78
Italy,69,7.99
Japan,37,7.32
Latvia,8,8.0
Lithuania,17,7.81
Luxembourg,3,7.67
Macedonia,2,7.0
Malaysia,8,7.88
Mexico,20,8.56
Moldova,1,9.0
Netherlands,33,7.9
New Zealand,19,7.63
Norway,14,7.25
Peru,3,8.67
Philippines,8,7.88
Poland,123,7.77
Portugal,25,7.86
Qatar,2,7.1
Romania,16,8.1
Russia,22,7.91
Saudi Arabia,3,7.33
Republic of Serbia,10,8.3
Slovakia,4,8.0
Slovenia,4,8.75
South Africa,4,8.33
South Korea,28,7.55
Spain,159,7.92
Sweden,34,7.37
Switzerland,9,7.44
Taiwan,32,7.98
Thailand,16,8.52
Turkey,1,8.5
Uganda,1,8.0
Ukraine,12,8.54
USA,1075,7.52
Uruguay,4,8.75
Venezuela,2,8.0
Vietnam,2,7.63
Argentina,21,8.62
Australia,123,7.81
Austria,20,8.13
Belarus,2,10.0
Belgium,57,8.27
Bolivia,2,9.0
Brazil,75,8.39
Brunei,1,10.0
Bulgaria,7,8.0
Canada,384,8.13
Chile,16,8.19
China,31,8.62
Colombia,5,9.1
Costa Rica,1,10.0
Croatia,6,8.22
Czech Republic,24,8.46
Denmark,29,8.05
Ecuador,2,7.0
England,14,7.91
Estonia,7,8.29
Finland,53,8.37
France,38,7.98
Germany,291,8.2
Greece,44,8.31
Guatemala,2,9.25
Hungary,24,7.72
Iceland,2,7.5
India,5,8.0
Indonesia,3,8.67
Iraq,1,9.0
Ireland,13,8.41
Israel,15,8.59
Italy,65,8.04
Japan,46,8.03
Latvia,9,8.69
Lithuania,16,8.34
Luxembourg,4,8.25
Malaysia,11,7.81
Mexico,18,8.25
Moldova,2,9.75
Netherlands,63,8.26
New Zealand,29,8.01
Norway,31,8.65
Peru,6,7.25
Philippines,3,8.17
Poland,110,8.15
Portugal,20,8.07
Romania,19,8.8
Russia,26,8.62
Saudi Arabia,1,9.0
Republic of Serbia,7,7.57
Slovakia,4,8.15
Slovenia,4,8.75
South Africa,8,8.5
South Korea,35,8.52
Spain,189,8.01
Sweden,72,8.13
Switzerland,23,7.98
Taiwan,39,8.38
Thailand,12,8.08
Trinidad and Tobago,1,7.0
Uganda,1,8.0
Ukraine,9,7.56
USA,2646,8.3
Uruguay,3,9.67
Venezuela,3,9.67
Vietnam,3,7.58
Argentina,7,8.86
Australia,50,7.9
Austria,14,7.32
Azerbaijan,1,6.0
Belarus,2,9.5
Belgium,23,8.45
Bolivia,2,9.0
Brazil,21,8.6
Bulgaria,1,8.0
Canada,162,8.1
Chile,7,8.07
China,20,8.81
Colombia,2,7.75
Croatia,2,7.35
Czech Republic,14,8.16
Denmark,11,7.52
England,8,8.78
Estonia,5,7.5
Finland,23,7.94
France,21,7.8
Germany,122,8.15
Greece,13,8.65
Hungary,7,7.59
India,1,5.0
Indonesia,3,8.67
Ireland,4,8.0
Israel,7,9.07
Italy,30,8.38
Japan,20,7.56
Latvia,7,8.27
Lithuania,6,8.67
Luxembourg,3,6.5
Malaysia,5,8.76
Mexico,6,7.58
Netherlands,27,8.3
New Zealand,15,7.83
Norway,16,8.44
Peru,1,8.0
Philippines,3,6.5
Poland,56,8.06
Portugal,4,9.25
Qatar,1,7.6
Romania,8,8.93
Russia,13,8.38
Republic of Serbia,2,8.0
Slovakia,2,7.65
Slovenia,1,10.0
South Africa,4,8.38
South Korea,25,8.3
Spain,74,8.03
Sweden,28,8.09
Switzerland,14,7.93
Taiwan,16,8.37
Thailand,7,7.56
Ukraine,8,7.39
USA,1090,8.29
Uruguay,1,10.0
Venezuela,2,8.5
Vietnam,2,8.0
Argentina,4,8.3
Australia,26,7.75
Austria,7,8.71
Azerbaijan,1,9.0
Belarus,2,9.25
Belgium,13,8.59
Brazil,35,8.58
Bulgaria,2,9.0
Canada,104,8.35
Chile,3,8.63
China,11,7.38
Colombia,1,8.0
Croatia,4,8.18
Czech Republic,5,7.4
Denmark,7,9.0
Ecuador,1,8.0
England,6,8.18
Estonia,2,8.7
Finland,34,9.01
France,16,8.65
Germany,74,8.35
Greece,13,8.25
Hungary,4,7.3
Iceland,1,10.0
India,2,6.0
