,Country,Number of Users,Average Rating
3073,USA,478,7.4
3074,Uruguay,2,8.0
3075,Venezuela,1,9.0
3076,Australia,16,7.09
3077,Austria,4,7.0
3078,Belgium,16,7.63
3079,Brazil,9,7.21
3080,Canada,66,7.18
3081,Czech Republic,5,7.9
3082,Denmark,9,6.67
3083,England,9,6.89
3084,Finland,10,6.7
3085,France,13,7.46
3086,Germany,55,7.56
3087,Greece,14,7.58
3088,Hungary,3,8.17
3089,Ireland,2,7.0
3090,Italy,52,7.3
3091,Japan,9,6.0
3092,Mongolia,1,7.0
3093,Netherlands,18,7.48
3094,New Zealand,9,7.24
3095,Norway,12,6.67
3096,Poland,2,8.5
3097,Portugal,5,7.1
3098,Qatar,1,7.2
3099,Russia,1,9.0
3100,Republic of Serbia,1,8.0
3101,South Africa,1,7.0
3102,South Korea,14,7.29
3103,Spain,42,7.86
3104,Sweden,27,6.77
3105,Switzerland,3,7.67
3106,Taiwan,2,7.0
3107,USA,527,7.22
3108,Venezuela,1,8.0
3109,Albania,1,5.5
3110,Argentina,4,7.25
3111,Australia,49,7.78
3112,Austria,8,8.5
3113,Belgium,15,7.35
3114,Bolivia,2,8.75
3115,Brazil,30,8.67
3116,Canada,167,7.73
3117,Chile,5,6.3
3118,China,13,7.93
3119,Colombia,4,8.38
3120,Croatia,2,9.0
3121,Czech Republic,19,8.16
3122,Denmark,11,7.16
3123,England,8,8.06
3124,Estonia,3,6.67
3125,Finland,23,8.26
3126,France,17,7.99
3127,Germany,121,8.15
3128,Greece,19,8.26
3129,Guatemala,1,7.0
3130,Hungary,7,7.57
3131,India,1,7.5
3132,Indonesia,4,7.88
3133,Iran,1,3.0
3134,Ireland,7,7.21
3135,Israel,5,8.0
3136,Italy,28,7.89
3137,Japan,18,7.06
3138,Latvia,4,6.25
3139,Lithuania,6,8.17
3140,Luxembourg,1,8.0
3141,Malaysia,3,8.33
3142,Mexico,4,7.7
3143,Moldova,1,6.0
3144,Netherlands,24,7.7
3145,New Zealand,16,7.2
3146,Norway,9,7.96
3147,Philippines,2,6.5
3148,Poland,62,7.48
3149,Portugal,7,8.7
3150,Qatar,1,6.8
3151,Romania,4,8.23
3152,Russia,13,7.85
3153,Republic of Serbia,2,8.2
3154,Slovakia,1,10.0
3155,Slovenia,1,10.0
3156,South Africa,2,7.25
3157,South Korea,17,7.11
3158,Spain,84,7.85
3159,Sweden,25,7.44
3160,Switzerland,5,7.9
3161,Taiwan,16,7.82
3162,Thailand,2,8.0
3163,Turkey,1,6.0
3164,Ukraine,3,8.5
3165,USA,769,7.57
3166,Vietnam,3,8.4
3167,Argentina,7,8.71
3168,Australia,21,7.42
3169,Austria,6,5.83
3170,Belgium,10,9.0
3171,Brazil,15,8.92
3172,Bulgaria,2,7.0
3173,Canada,101,7.85
3174,Chile,6,9.03
3175,China,23,9.25
3176,Colombia,2,7.5
3177,Croatia,4,9.25
3178,Czech Republic,9,7.11
3179,Denmark,5,4.4
3180,England,6,7.5
3181,Finland,24,8.0
3182,France,9,8.2
3183,Germany,50,7.7
3184,Greece,6,8.33
3185,Guatemala,1,10.0
3186,Hungary,8,8.13
3187,India,2,7.4
3188,Indonesia,1,8.0
3189,Ireland,3,7.33
3190,Israel,3,7.33
3191,Italy,32,8.17
3192,Japan,12,7.25
3193,Latvia,2,5.5
3194,Lithuania,4,9.0
3195,Malaysia,3,8.26
3196,Mexico,4,7.63
3197,Netherlands,18,8.24
3198,New Zealand,7,8.0
3199,Norway,12,7.02
3200,Peru,1,8.0
3201,Poland,25,8.32
3202,Portugal,2,7.45
3203,Romania,2,9.5
3204,Russia,10,7.35
3205,Republic of Serbia,4,7.0
3206,Slovenia,1,10.0
3207,South Africa,2,7.5
3208,South Korea,14,7.54
3209,Spain,46,7.69
3210,Sweden,23,7.39
3211,Switzerland,4,8.63
3212,Taiwan,10,8.85
3213,Thailand,6,8.0
3214,Turkey,1,9.0
3215,USA,618,7.61
3216,Venezuela,2,6.5
3217,Australia,26,7.93
3218,Austria,11,8.73
3219,Belgium,27,7.93
3220,Brazil,17,8.44
3221,Canada,89,8.16
3222,Chile,6,8.07
3223,China,9,8.03
3224,Colombia,2,7.75
3225,Croatia,1,9.0
3226,Czech Republic,7,7.71
3227,Denmark,5,6.4
3228,England,5,7.6
3229,Estonia,1,10.0
3230,Finland,13,7.65
3231,France,17,8.1
3232,Germany,95,8.13
3233,Greece,12,7.83
3234,Hungary,6,8.0
3235,Iceland,1,8.5
3236,India,4,8.13
3237,Ireland,1,7.0
3238,Israel,4,8.88
3239,Italy,30,7.92
3240,Japan,10,6.25
3241,Lithuania,1,8.0
3242,Luxembourg,1,8.8
3243,Malaysia,2,7.5
3244,Mexico,1,7.4
3245,Netherlands,18,7.81
3246,New Zealand,8,7.53
3247,Norway,10,8.48
3248,Philippines,1,2.0
3249,Poland,32,8.44
3250,Portugal,5,7.6
3251,Romania,2,9.05
3252,Slovenia,2,9.5
3253,South Africa,1,7.0
3254,South Korea,21,7.81
3255,Spain,49,8.11
3256,Sweden,20,8.13
3257,Switzerland,4,8.5
3258,Taiwan,13,8.15
3259,Thailand,1,8.0
3260,Ukraine,1,5.0
3261,USA,456,7.66
3262,Uruguay,1,9.0
3263,Venezuela,2,10.0
3264,Argentina,4,6.38
3265,Australia,40,6.81
3266,Austria,2,6.5
3267,Belgium,18,7.24
3268,Brazil,19,7.49
3269,Canada,134,6.93
3270,Chile,5,6.52
3271,China,4,5.5
3272,Colombia,1,6.5
3273,Denmark,10,6.08
3274,England,4,7.25
3275,Estonia,3,6.67
3276,Finland,29,6.39
3277,France,9,6.39
3278,Germany,55,7.16
3279,Greece,26,7.34
3280,Hungary,2,6.5
3281,Ireland,1,5.0
3282,Israel,6,6.25
3283,Italy,23,6.9
3284,Japan,5,5.6
3285,Latvia,1,6.75
3286,Lithuania,1,7.5
3287,Malaysia,2,7.25
3288,Mexico,3,6.17
3289,Netherlands,25,7.0
3290,New Zealand,5,7.2
3291,Norway,15,6.97
3292,Philippines,1,7.5
3293,Poland,15,6.6
3294,Portugal,10,6.51
3295,Russia,2,7.0
3296,Republic of Serbia,4,6.25
3297,South Korea,7,6.29
3298,Spain,34,6.74
3299,Sweden,22,6.68
3300,Switzerland,3,6.5
3301,Taiwan,7,7.11
3302,Thailand,3,8.33
3303,Ukraine,2,6.5
3304,USA,1080,6.91
3305,Venezuela,1,9.0
3306,Argentina,14,7.62
3307,Australia,56,7.61
3308,Austria,10,7.7
3309,Belarus,1,6.0
3310,Belgium,15,7.62
3311,Brazil,44,7.69
3312,Bulgaria,4,8.0
3313,Canada,136,7.3
3314,Chile,11,8.17
3315,China,14,7.79
3316,Colombia,6,6.92
3317,Croatia,5,7.48
3318,Czech Republic,7,8.0
3319,Denmark,7,6.86
3320,England,9,7.41
3321,Estonia,2,7.75
3322,Finland,15,7.62
3323,France,25,7.7
3324,Germany,122,7.31
3325,Greece,20,7.76
3326,Guatemala,1,8.0
3327,Hungary,15,7.23
3328,Iceland,1,6.0
3329,India,4,7.38
3330,Indonesia,2,9.0
3331,Ireland,3,8.5
3332,Israel,10,7.74
3333,Italy,32,7.45
3334,Japan,24,7.0
3335,Latvia,5,7.45
3336,Lithuania,9,6.5
3337,Luxembourg,3,6.67
3338,Malaysia,2,8.0
3339,Mexico,13,8.41
3340,Moldova,2,10.0
3341,Netherlands,17,7.42
3342,New Zealand,14,7.67
3343,Norway,7,6.71
3344,Peru,2,7.0
3345,Philippines,6,6.67
3346,Poland,32,7.05
3347,Portugal,15,7.27
3348,Qatar,1,5.8
3349,Romania,11,7.07
3350,Russia,9,7.44
3351,Saudi Arabia,2,5.5
3352,Republic of Serbia,5,8.2
3353,Slovakia,1,5.0
3354,Slovenia,4,8.0
3355,South Africa,1,9.0
3356,South Korea,20,6.91
3357,Spain,90,7.34
3358,Sri Lanka,1,7.0
3359,Sweden,25,7.08
3360,Switzerland,12,7.48
3361,Taiwan,18,7.85
3362,Thailand,7,7.64
3363,Turkey,1,7.0
3364,Ukraine,1,7.0
3365,USA,735,7.5
3366,Uruguay,1,8.0
3367,Venezuela,2,7.5
3368,Vietnam,2,7.38
3369,Zambia,1,4.0
3370,Argentina,4,7.13
3371,Australia,57,6.87
3372,Austria,2,6.5
3373,Belarus,1,7.0
3374,Belgium,19,7.14
3375,Bolivia,1,10.0
3376,Brazil,26,7.31
3377,Brunei,1,8.0
3378,Canada,113,6.86
3379,Chile,10,7.39
3380,China,6,6.83
3381,Colombia,2,6.5
3382,Croatia,3,8.0
3383,Czech Republic,5,6.0
3384,Denmark,10,6.4
3385,England,11,7.14
3386,Estonia,6,6.58
3387,Finland,19,6.95
3388,France,18,7.81
3389,Germany,60,7.06
3390,Greece,16,7.1
3391,Hungary,8,7.2
3392,Iceland,2,7.5
3393,India,5,7.2
3394,Indonesia,2,6.15
3395,Ireland,8,7.25
3396,Israel,5,6.62
3397,Italy,15,7.41
3398,Japan,29,6.92
3399,Latvia,3,6.83
3400,Lithuania,1,8.0
3401,Luxembourg,1,6.0
3402,Malaysia,5,7.4
3403,Mexico,6,7.08
3404,Moldova,1,10.0
3405,Netherlands,27,7.14
3406,New Zealand,11,6.96
3407,Norway,14,6.86
3408,Peru,1,7.0
3409,Philippines,3,7.33
3410,Poland,48,6.62
3411,Portugal,9,6.91
3412,Qatar,1,6.0
3413,Romania,6,8.23
3414,Russia,14,6.36
3415,Republic of Serbia,2,8.0
3416,Slovakia,1,5.0
3417,Slovenia,2,7.5
3418,South Africa,2,7.75
3419,South Korea,11,7.14
3420,Spain,76,6.98
3421,Sweden,21,6.43
3422,Switzerland,4,6.13
3423,Taiwan,9,6.89
3424,Thailand,5,6.62
3425,Turkey,1,7.0
3426,Ukraine,3,7.33
3427,USA,662,6.99
3428,Uruguay,1,7.5
3429,Vietnam,2,7.0
3430,Argentina,13,7.8
3431,Australia,53,7.3
3432,Austria,9,6.5
3433,The Bahamas,1,9.0
3434,Belarus,1,8.0
3435,Belgium,21,7.66
3436,Brazil,37,8.01
3437,Bulgaria,2,7.5
3438,Canada,155,7.45
3439,Chile,7,7.63
3440,China,17,7.43
3441,Colombia,3,8.5
3442,Croatia,3,9.0
3443,Czech Republic,5,8.0
3444,Denmark,9,6.2
3445,England,11,7.55
3446,Estonia,4,7.25
3447,Finland,12,6.5
3448,France,9,8.19
3449,Germany,82,7.53
3450,Greece,22,7.95
3451,Hungary,14,7.54
3452,India,4,8.0
3453,Indonesia,2,8.0
3454,Iran,2,8.5
3455,Ireland,7,7.71
3456,Israel,9,7.28
3457,Italy,32,7.76
3458,Japan,6,5.67
3459,Latvia,5,7.62
3460,Lithuania,2,7.0
3461,Luxembourg,3,7.33
3462,Malaysia,4,8.7
3463,Mexico,5,7.94
3464,Netherlands,29,7.19
3465,New Zealand,10,6.99
3466,Norway,8,6.78
3467,Peru,1,7.5
3468,Philippines,5,6.3
3469,Poland,70,7.46
3470,Portugal,18,7.81
3471,Qatar,1,6.2
3472,Romania,4,7.68
3473,Russia,10,7.63
3474,Republic of Serbia,3,7.87
3475,Slovakia,3,8.0
3476,Slovenia,2,9.5
3477,South Africa,4,7.25
3478,South Korea,10,7.25
3479,Spain,111,7.65
3480,Sweden,18,7.36
3481,Switzerland,7,8.29
3482,Taiwan,16,7.49
3483,Thailand,4,6.38
3484,Uganda,1,6.0
3485,Ukraine,4,8.75
3486,USA,854,7.49
3487,Uruguay,1,8.0
3488,Vietnam,1,5.25
3489,Argentina,3,7.33
3490,Australia,28,7.46
3491,Austria,12,6.38
3492,Belarus,1,9.5
3493,Belgium,17,7.61
3494,Brazil,30,7.96
3495,Bulgaria,1,7.0
3496,Canada,88,7.57
3497,Chile,12,8.17
3498,China,11,7.5
3499,Colombia,1,10.0
3500,Croatia,5,8.88
3501,Czech Republic,7,8.21
3502,Denmark,5,7.0
3503,England,8,7.88
3504,Estonia,2,9.0
3505,Finland,25,7.57
3506,France,13,7.69
3507,Germany,112,7.58
3508,Greece,21,7.79
3509,Guatemala,1,7.0
3510,Hungary,8,7.68
3511,India,1,8.0
3512,Indonesia,2,5.0
3513,Ireland,4,7.75
3514,Israel,3,8.4
3515,Italy,19,7.59
3516,Japan,17,7.46
3517,Latvia,8,7.38
3518,Lithuania,1,7.0
3519,Luxembourg,2,7.4
3520,Malaysia,3,6.83
3521,Mexico,5,7.3
3522,Moldova,2,9.5
3523,Netherlands,30,7.62
3524,New Zealand,10,7.16
3525,Norway,14,7.18
3526,Peru,1,7.0
3527,Philippines,3,7.33
3528,Poland,44,7.82
3529,Portugal,12,7.42
3530,Qatar,1,6.8
3531,Romania,4,8.63
3532,Russia,7,7.0
3533,Saudi Arabia,1,8.0
3534,Republic of Serbia,1,6.0
3535,Slovenia,5,8.6
3536,South Africa,3,7.33
3537,South Korea,18,7.61
3538,Spain,66,7.72
3539,Sweden,17,7.5
3540,Switzerland,4,8.25
3541,Taiwan,11,7.86
3542,Thailand,4,8.25
3543,Ukraine,1,8.0
3544,USA,705,7.52
3545,Argentina,9,8.66
3546,Australia,24,8.04
3547,Austria,9,8.33
3548,Belarus,1,7.0
3549,Belgium,19,7.95
3550,Brazil,35,8.17
3551,Bulgaria,2,8.25
3552,Canada,63,7.94
3553,Chile,5,7.96
3554,China,14,8.03
3555,Colombia,1,9.0
3556,Croatia,3,8.17
3557,Czech Republic,6,7.67
3558,Denmark,6,7.87
3559,England,7,7.25
3560,Estonia,2,8.5
3561,Finland,8,8.1
3562,France,9,7.99
3563,Germany,105,7.85
3564,Greece,14,8.44
3565,Guatemala,1,8.0
3566,Hungary,6,6.88
3567,Iceland,1,9.0
3568,India,5,8.7
3569,Indonesia,1,8.5
3570,Iran,1,8.0
3571,Ireland,4,8.13
3572,Israel,6,8.22
3573,Italy,29,7.76
3574,Japan,21,8.16
3575,Latvia,4,8.56
3576,Lithuania,4,7.25
3577,Luxembourg,1,7.0
3578,Malaysia,3,8.0
3579,Mexico,6,7.96
3580,Netherlands,34,8.01
3581,New Zealand,7,7.5
3582,Norway,7,7.86
3583,Peru,1,6.0
3584,Philippines,6,9.08
3585,Poland,25,7.88
3586,Portugal,9,8.77
3587,Qatar,1,3.4
3588,Romania,8,8.88
3589,Russia,7,8.07
3590,Saudi Arabia,1,9.0
3591,Republic of Serbia,4,8.5
3592,Slovakia,2,8.5
3593,Slovenia,2,8.5
3594,South Africa,2,8.5
3595,South Korea,8,8.0
3596,Spain,40,7.63
3597,Sweden,12,7.46
3598,Switzerland,12,7.92
3599,Taiwan,14,8.01
3600,Thailand,7,8.46
3601,Turkey,4,8.63
3602,Ukraine,2,9.5
3603,USA,408,7.94
3604,Venezuela,1,9.0
3605,Vietnam,2,7.5
3606,Argentina,13,8.38
3607,Australia,43,7.95
3608,Austria,6,7.08
3609,Belgium,11,8.08
3610,Bolivia,1,8.0
3611,Brazil,35,8.18
3612,Brunei,1,8.0
3613,Bulgaria,6,8.08
3614,Canada,131,7.79
3615,Chile,8,7.44
3616,China,14,7.94
3617,Colombia,2,7.0
3618,Croatia,2,7.75
3619,Czech Republic,4,7.75
3620,Denmark,8,6.96
3621,England,12,7.67
3622,Estonia,2,7.6
3623,Finland,16,7.35
3624,France,29,8.04
3625,Germany,54,7.45
3626,Greece,21,7.94
3627,Hungary,11,8.07
3628,Iceland,1,8.0
3629,India,4,9.63
3630,Indonesia,2,7.75
3631,Iran,1,10.0
3632,Ireland,5,6.9
3633,Israel,9,7.64
3634,Italy,20,7.93
3635,Japan,30,7.35
3636,Latvia,3,8.42
3637,Lithuania,2,9.0
3638,Malaysia,6,8.4
3639,Mexico,8,8.22
3640,Moldova,1,9.0
3641,Netherlands,19,7.55
3642,New Zealand,9,7.27
3643,Norway,8,7.43
3644,Peru,2,8.0
3645,Philippines,2,9.0
3646,Poland,42,7.82
3647,Portugal,14,7.83
3648,Romania,7,8.29
3649,Russia,15,7.7
3650,Saudi Arabia,2,7.5
3651,Republic of Serbia,4,7.38
3652,Slovakia,2,7.0
3653,Slovenia,3,8.67
3654,South Africa,3,8.0
3655,South Korea,10,7.95
3656,Spain,106,7.49
3657,Sweden,15,7.7
3658,Switzerland,8,7.81
3659,Taiwan,10,8.19
3660,Thailand,8,7.19
3661,Turkey,2,7.75
3662,Uganda,1,7.5
3663,Ukraine,8,7.68
3664,USA,607,7.82
3665,Uruguay,1,9.0
3666,Venezuela,1,4.0
3667,Vietnam,2,7.5
3668,Argentina,4,6.5
3669,Australia,24,5.98
3670,Austria,5,5.0
3671,Belarus,1,5.0
3672,Belgium,11,5.64
3673,Brazil,27,6.62
3674,Bulgaria,2,5.5
3675,Canada,59,5.53
3676,Chile,2,6.0
3677,China,3,5.67
3678,Croatia,4,5.5
3679,Czech Republic,5,6.1
3680,Denmark,2,7.5
3681,England,1,5.0
3682,Estonia,7,5.71
3683,Finland,10,5.67
3684,France,4,6.75
3685,Germany,58,6.12
3686,Greece,9,6.17
3687,Guatemala,1,6.0
3688,Hungary,6,6.25
3689,India,1,7.0
3690,Indonesia,1,7.0
3691,Ireland,2,6.5
3692,Israel,1,5.0
3693,Italy,22,6.75
3694,Japan,5,5.8
3695,Latvia,1,6.0
3696,Lithuania,4,6.0
3697,Malaysia,2,4.5
3698,Mexico,9,6.68
3699,Moldova,1,7.0
3700,Netherlands,17,6.21
3701,New Zealand,6,5.31
3702,Norway,5,5.4
3703,Peru,1,6.0
3704,Philippines,3,7.0
3705,Poland,38,6.31
3706,Portugal,5,6.12
3707,Romania,10,7.2
3708,Russia,13,5.83
3709,Slovakia,1,7.0
3710,Slovenia,2,5.5
3711,South Africa,3,4.67
3712,South Korea,18,5.26
3713,Spain,33,6.28
3714,Sri Lanka,1,7.0
3715,Sweden,10,5.7
3716,Switzerland,5,7.1
3717,Taiwan,2,5.5
3718,Turkey,1,5.0
3719,Ukraine,3,5.33
3720,USA,514,5.46
3721,Venezuela,1,6.0
3722,Vietnam,1,4.0
3723,Argentina,20,7.85
3724,Australia,80,7.54
3725,Austria,8,7.75
3726,Belarus,1,5.0
3727,Belgium,33,7.72
3728,Bolivia,2,8.5
3729,Brazil,57,8.05
3730,Bulgaria,9,7.5
3731,Canada,251,7.81
3732,Chile,12,7.05
3733,China,10,6.32
3734,Colombia,7,7.71
3735,Costa Rica,3,8.33
3736,Croatia,3,8.0
3737,Czech Republic,8,7.63
3738,Denmark,12,7.43
3739,England,7,7.07
3740,Estonia,1,9.0
3741,Finland,16,7.65
3742,France,34,7.53
3743,Germany,108,7.6
3744,Greece,24,7.89
3745,Guatemala,2,7.75
3746,Hungary,8,8.25
3747,Iceland,3,8.0
3748,India,4,7.75
3749,Indonesia,5,7.5
3750,Ireland,10,8.15
3751,Israel,15,7.61
3752,Italy,31,7.25
3753,Japan,27,6.95
3754,Latvia,7,7.29
3755,Lithuania,9,7.31
3756,Luxembourg,4,6.63
3757,Malaysia,6,7.88
3758,Mexico,26,8.07
3759,Moldova,2,9.0
3760,Netherlands,32,7.42
3761,New Zealand,14,7.74
3762,Norway,12,6.75
3763,Peru,4,8.25
3764,Philippines,9,8.61
3765,Poland,62,7.53
3766,Portugal,22,8.02
3767,Qatar,2,7.0
3768,Romania,13,7.69
3769,Russia,13,7.65
3770,Saudi Arabia,2,7.5
3771,Republic of Serbia,7,7.21
3772,Slovakia,3,7.67
3773,Slovenia,5,8.38
3774,South Africa,10,7.55
3775,South Korea,10,6.35
3776,Spain,121,7.2
3777,Sri Lanka,1,6.0
3778,Sweden,35,7.19
3779,Switzerland,11,7.29
3780,Taiwan,17,7.38
3781,Thailand,10,7.3
3782,Turkey,1,6.5
3783,Ukraine,8,8.31
3784,USA,1322,7.68
3785,Uruguay,2,8.25
3786,Venezuela,3,7.0
3787,Vietnam,2,6.88
3788,Argentina,6,7.83
3789,Australia,34,7.57
3790,Austria,11,8.23
3791,Belarus,1,8.0
3792,Belgium,17,7.01
3793,Brazil,15,7.04
3794,Brunei,1,8.5
3795,Bulgaria,3,8.0
3796,Canada,90,7.27
3797,Chile,4,7.88
3798,China,7,7.8
3799,Croatia,2,6.55
3800,Czech Republic,4,7.5
3801,Denmark,6,7.67
3802,England,9,7.35
3803,Estonia,1,8.0
3804,Finland,14,6.91
3805,France,17,7.57
3806,Germany,128,7.4
3807,Greece,14,8.08
3808,Guatemala,1,7.5
3809,Hungary,8,7.63
3810,Iceland,1,7.5
3811,India,1,7.0
3812,Ireland,7,7.57
3813,Israel,2,6.0
3814,Italy,17,6.69
3815,Japan,20,7.18
3816,Latvia,6,7.83
3817,Lithuania,2,6.5
3818,Luxembourg,1,6.0
3819,Malaysia,3,9.2
3820,Mexico,2,8.5
3821,Netherlands,16,7.52
3822,New Zealand,14,6.74
3823,Norway,5,7.16
3824,Philippines,1,5.0
3825,Poland,35,7.81
3826,Portugal,8,7.56
3827,Qatar,1,8.0
3828,Romania,5,6.7
3829,Russia,8,7.84
3830,Saudi Arabia,1,9.0
3831,Republic of Serbia,2,9.5
3832,South Africa,1,7.0
3833,South Korea,5,7.44
3834,Spain,35,7.49
3835,Sweden,23,7.53
3836,Switzerland,12,7.0
3837,Taiwan,6,7.2
3838,Thailand,3,7.83
3839,Ukraine,1,5.0
3840,USA,574,7.4
3841,Venezuela,2,8.0
3842,Argentina,9,8.11
3843,Australia,28,7.68
3844,Austria,7,7.36
3845,Belarus,1,5.0
3846,Belgium,12,8.03
3847,Brazil,21,7.84
3848,Bulgaria,5,8.7
3849,Canada,96,7.91
3850,Chile,4,8.25
3851,China,7,8.39
3852,Colombia,2,8.0
3853,Croatia,3,8.47
3854,Czech Republic,2,7.75
3855,Denmark,3,7.33
3856,England,5,7.6
3857,Finland,6,7.05
3858,France,21,8.07
3859,Germany,66,7.3
3860,Greece,12,8.08
3861,Hungary,10,7.95
3862,India,4,7.75
3863,Indonesia,1,7.0
3864,Iran,1,1.0
3865,Ireland,3,7.0
3866,Israel,6,7.62
3867,Italy,22,7.82
3868,Japan,17,7.05
3869,Latvia,5,7.7
3870,Lithuania,6,8.04
3871,Malaysia,1,6.5
3872,Mexico,8,8.29
3873,Netherlands,12,6.96
3874,New Zealand,7,7.64
3875,Norway,12,7.63
3876,Peru,4,8.0
3877,Philippines,2,6.5
3878,Poland,24,7.99
3879,Portugal,14,7.74
3880,Romania,4,8.9
3881,Russia,5,7.9
3882,Saudi Arabia,1,8.0
3883,Republic of Serbia,6,7.67
3884,Slovenia,1,10.0
3885,South Africa,4,8.0
3886,South Korea,12,7.62
3887,Spain,30,7.35
3888,Sweden,18,6.83
3889,Switzerland,7,7.07
3890,Taiwan,5,7.8
3891,Thailand,1,6.0
3892,Ukraine,3,8.0
3893,USA,437,7.7
3894,Venezuela,2,8.5
3895,Vietnam,1,6.75
3896,Argentina,2,7.4
3897,Australia,24,7.31
3898,Austria,6,8.5
3899,Belarus,2,7.0
3900,Belgium,11,7.59
3901,Brazil,28,8.38
3902,Bulgaria,1,6.0
3903,Canada,98,7.54
3904,Chile,4,8.0
3905,China,10,7.86
3906,Colombia,1,7.0
3907,Czech Republic,6,7.67
3908,Denmark,9,7.8
3909,England,7,7.24
3910,Finland,8,6.75
3911,France,17,7.6
3912,Germany,82,7.33
3913,Greece,22,7.78
3914,Hungary,3,7.63
3915,Iceland,1,8.0
3916,India,1,6.5
3917,Indonesia,3,7.68
3918,Ireland,4,8.25
3919,Israel,9,7.82
3920,Italy,50,7.7
3921,Japan,8,6.0
3922,Latvia,5,8.3
3923,Lithuania,6,7.23
3924,Luxembourg,1,8.0
3925,Mexico,4,6.5
3926,Netherlands,12,7.59
3927,New Zealand,7,7.29
3928,Norway,9,7.23
3929,Philippines,2,9.25
3930,Poland,19,7.45
3931,Portugal,1,7.0
3932,Qatar,1,7.0
3933,Romania,5,7.9
3934,Russia,15,7.49
3935,Republic of Serbia,1,7.0
3936,Slovakia,1,7.2
3937,South Africa,1,7.0
3938,South Korea,10,7.55
3939,Spain,56,7.72
3940,Sweden,23,7.5
3941,Switzerland,9,7.06
3942,Taiwan,15,7.47
3943,Thailand,4,8.0
3944,Ukraine,4,8.38
3945,USA,685,7.6
3946,Venezuela,2,9.0
3947,Argentina,7,7.93
3948,Australia,30,7.71
3949,Austria,8,8.88
3950,Belarus,2,8.0
3951,Belgium,28,7.94
3952,Bolivia,1,8.0
3953,Brazil,35,8.76
3954,Bulgaria,1,10.0
3955,Canada,122,8.31
3956,Chile,5,8.0
3957,China,10,7.92
3958,Colombia,3,8.0
3959,Costa Rica,1,9.0
3960,Croatia,1,8.8
3961,Czech Republic,16,8.28
3962,Denmark,10,7.3
3963,England,9,8.72
3964,Estonia,3,9.33
3965,Finland,14,8.16
3966,France,21,8.05
3967,Germany,114,8.06
3968,Greece,22,8.61
3969,Guatemala,1,7.0
3970,Hungary,5,7.58
3971,Iceland,1,9.0
3972,India,2,7.75
3973,Indonesia,1,8.0
3974,Ireland,6,8.35
3975,Israel,9,8.55
3976,Italy,45,7.64
3977,Japan,24,7.52
3978,Latvia,4,8.53
3979,Lithuania,6,8.5
3980,Luxembourg,2,9.7
3981,Malaysia,8,8.14
3982,Mexico,3,7.83
3983,Netherlands,29,7.64
3984,New Zealand,11,8.44
3985,Norway,13,8.25
3986,Peru,2,9.25
3987,Philippines,3,8.0
3988,Poland,55,8.28
3989,Portugal,6,8.4
3990,Qatar,1,9.0
3991,Romania,5,8.7
3992,Russia,9,6.94
3993,Republic of Serbia,3,8.33
3994,Slovakia,3,9.4
3995,Slovenia,1,10.0
3996,South Korea,25,8.23
3997,Spain,89,8.32
3998,Sweden,20,7.79
3999,Switzerland,7,7.07
4000,Taiwan,18,8.26
4001,Thailand,10,8.16
4002,Ukraine,3,7.67
4003,USA,653,7.98
4004,Uruguay,1,10.0
4005,Venezuela,2,10.0
4006,Vietnam,1,7.5
4007,Australia,33,7.4
4008,Austria,9,7.44
4009,Belgium,18,7.56
4010,Brazil,13,7.69
4011,Brunei,1,9.0
4012,Bulgaria,1,4.0
4013,Canada,94,7.08
4014,Chile,4,7.25
4015,Colombia,1,8.0
4016,Czech Republic,3,6.33
4017,Denmark,3,4.83
4018,England,6,5.92
4019,Estonia,3,4.33
4020,Finland,14,7.46
4021,France,18,7.65
4022,Germany,65,7.42
4023,Greece,11,7.61
4024,Guatemala,1,8.5
4025,Hungary,9,7.44
4026,Indonesia,2,6.5
4027,Ireland,3,7.5
4028,Israel,5,6.7
4029,Italy,29,7.94
4030,Japan,25,6.94
4031,Latvia,2,7.0
4032,Lithuania,3,7.0
4033,Luxembourg,1,8.0
4034,Malaysia,1,6.5
4035,Mexico,2,7.0
4036,Netherlands,22,7.36
4037,New Zealand,9,6.93
4038,Norway,8,6.69
4039,Peru,1,7.0
4040,Philippines,1,5.0
4041,Poland,13,7.43
4042,Portugal,5,6.82
4043,Romania,4,7.5
4044,Russia,5,6.4
4045,Saudi Arabia,2,7.5
4046,Republic of Serbia,2,6.0
4047,Slovakia,1,6.5
4048,South Africa,2,7.0
4049,South Korea,15,7.43
4050,Spain,22,7.21
4051,Sweden,21,6.93
4052,Switzerland,3,8.5
4053,Taiwan,4,7.63
4054,Thailand,3,5.5
4055,USA,585,7.16
4056,Vietnam,1,7.0
4057,Argentina,1,7.0
4058,Australia,37,6.72
4059,Austria,11,7.44
4060,Belgium,24,7.22
4061,Brazil,7,6.41
4062,Bulgaria,1,7.0
4063,Canada,82,7.36
4064,Chile,5,5.72
4065,Croatia,3,7.33
4066,Czech Republic,5,7.8
4067,Denmark,13,5.96
4068,England,10,6.81
4069,Estonia,1,8.0
4070,Finland,28,7.13
4071,France,13,7.52
4072,Germany,107,7.06
4073,Greece,16,7.48
4074,Hungary,10,6.57
4075,Iceland,1,7.0
4076,Ireland,6,6.82
4077,Italy,31,6.75
4078,Japan,18,6.05
4079,Luxembourg,1,7.0
